LegID;FltNbr;LegOrig;LegDest;LegETD;LegETA;AcftType;Acft;Crew;AvailableSeatsEconomy;AvailableSeatsBusiness
112;4261;ORD;IND;2016-04-01 19:24:00;2016-04-01 20:31:00;E175;121;41;22;5
113;4370;PIT;ORD;2016-04-01 08:20:00;2016-04-01 10:26:00;E175;116;42;10;4
114;4386;ORD;DTW;2016-04-01 13:20:00;2016-04-01 14:45:00;E175;116;42;10;3
115;4386;DTW;ORD;2016-04-01 15:15:00;2016-04-01 16:41:00;E175;116;42;26;3
116;4385;ORD;ATL;2016-04-01 17:30:00;2016-04-01 19:30:00;E175;116;43;19;0
117;4385;ATL;ORD;2016-04-01 20:00:00;2016-04-01 22:15:00;E175;116;43;26;5
118;4233;LGA;RDU;2016-04-01 13:25:00;2016-04-01 15:14:00;E175;123;44;6;0
119;4233;RDU;LGA;2016-04-01 15:44:00;2016-04-01 17:29:00;E175;123;44;0;2
120;4273;LGA;RIC;2016-04-01 18:05:00;2016-04-01 19:41:00;E175;123;44;13;0
121;4273;RIC;LGA;2016-04-01 20:15:00;2016-04-01 21:37:00;E175;123;44;13;1
122;4293;PLS;MIA;2016-04-01 08:15:00;2016-04-01 10:11:00;E175;124;45;0;0
123;4266;MIA;PNS;2016-04-01 11:15:00;2016-04-01 13:04:00;E175;124;45;16;0
124;4266;PNS;MIA;2016-04-01 14:00:00;2016-04-01 15:39:00;E175;124;45;13;4
125;4285;MIA;JAX;2016-04-01 16:50:00;2016-04-01 18:07:00;E175;124;45;13;1
126;4285;JAX;MIA;2016-04-01 19:10:00;2016-04-01 20:30:00;E175;124;46;10;3
127;4284;ORF;MIA;2016-04-01 06:00:00;2016-04-01 08:31:00;E175;125;47;19;4
128;4256;MIA;PIT;2016-04-01 09:20:00;2016-04-01 12:04:00;E175;125;47;22;4
129;4256;PIT;JFK;2016-04-01 12:34:00;2016-04-01 14:09:00;E175;125;47;6;1
130;4363;JFK;IND;2016-04-01 14:55:00;2016-04-01 17:23:00;E175;125;48;26;5
131;4220;IND;MIA;2016-04-01 17:55:00;2016-04-01 20:36:00;E175;125;48;13;4
132;4375;MIA;CHS;2016-04-01 21:34:00;2016-04-01 23:20:00;E175;125;48;10;5
133;4312;ORD;IAH;2016-04-01 11:05:00;2016-04-01 13:52:00;E175;133;49;22;0
134;4312;IAH;ORD;2016-04-01 14:22:00;2016-04-01 17:12:00;E175;133;49;19;2
135;4272;ORD;JAX;2016-04-01 19:30:00;2016-04-01 21:54:00;E175;133;49;16;3
136;4283;JAX;ORD;2016-04-01 07:10:00;2016-04-01 09:59:00;E175;134;50;22;5
137;4368;ORD;HDN;2016-04-01 10:49:00;2016-04-01 13:50:00;E175;134;50;3;3
138;4368;HDN;ORD;2016-04-01 14:22:00;2016-04-01 17:10:00;E175;134;50;26;3
139;4351;ORD;EWR;2016-04-01 17:50:00;2016-04-01 19:56:00;E175;134;51;13;4
140;4351;EWR;ORD;2016-04-01 20:29:00;2016-04-01 23:10:00;E175;134;51;26;0
141;4263;RIC;MIA;2016-04-01 07:45:00;2016-04-01 10:16:00;E175;128;52;6;2
142;4282;MIA;EYW;2016-04-01 10:55:00;2016-04-01 11:49:00;E175;128;52;19;0
143;4282;EYW;MIA;2016-04-01 12:31:00;2016-04-01 13:19:00;E175;128;52;10;3
144;4228;MIA;ATL;2016-04-01 15:20:00;2016-04-01 17:18:00;E175;128;52;13;4
145;4333;ATL;ORD;2016-04-01 17:54:00;2016-04-01 20:09:00;E175;128;53;3;3
146;4267;ORD;IAH;2016-04-01 22:25:00;2016-04-02 01:17:00;E175;128;53;19;5
147;4384;DEN;ORD;2016-04-01 07:35:00;2016-04-01 10:10:00;E175;129;54;6;3
148;4343;ORD;MSP;2016-04-01 11:01:00;2016-04-01 12:29:00;E175;129;54;22;2
149;4343;MSP;ORD;2016-04-01 13:07:00;2016-04-01 14:44:00;E175;129;54;6;4
150;4344;ORD;DEN;2016-04-01 15:25:00;2016-04-01 18:15:00;E175;129;54;16;0
151;4342;DEN;ORD;2016-04-01 19:18:00;2016-04-01 21:48:00;E175;129;55;3;2
152;4374;BNA;MIA;2016-04-01 07:00:00;2016-04-01 09:16:00;E175;114;56;26;4
153;4237;MIA;BNA;2016-04-01 10:04:00;2016-04-01 12:38:00;E175;114;56;6;4
154;4237;BNA;MIA;2016-04-01 13:30:00;2016-04-01 15:44:00;E175;114;56;3;5
155;4380;MIA;PIT;2016-04-01 18:51:00;2016-04-01 21:30:00;E175;114;57;13;4
156;4320;DCA;ATL;2016-04-01 06:25:00;2016-04-01 08:27:00;E175;140;58;6;2
157;4320;ATL;DCA;2016-04-01 08:57:00;2016-04-01 10:41:00;E175;140;58;0;0
158;4395;DCA;STL;2016-04-01 11:36:00;2016-04-01 14:04:00;E175;140;58;19;4
159;4270;STL;DCA;2016-04-01 14:34:00;2016-04-01 16:33:00;E175;140;58;26;4
160;4305;DCA;RSW;2016-04-01 17:13:00;2016-04-01 20:00:00;E175;140;59;13;4
161;4305;RSW;DCA;2016-04-01 20:30:00;2016-04-01 22:56:00;E175;140;59;10;1
162;4341;MTY;MIA;2016-04-01 10:15:00;2016-04-01 13:12:00;E175;132;60;0;0
163;4400;MIA;NAS;2016-04-01 14:05:00;2016-04-01 15:03:00;E175;132;60;16;5
164;4400;NAS;MIA;2016-04-01 15:49:00;2016-04-01 16:55:00;E175;132;60;6;0
165;4294;MIA;PLS;2016-04-01 18:05:00;2016-04-01 19:46:00;E175;132;60;3;2
166;4357;ORD;IAH;2016-04-01 08:49:00;2016-04-01 11:40:00;E175;126;61;0;3
167;4357;IAH;ORD;2016-04-01 12:19:00;2016-04-01 15:03:00;E175;126;61;10;0
168;4250;ORD;ATL;2016-04-01 16:00:00;2016-04-01 18:01:00;E175;126;61;3;4
169;4302;ATL;MIA;2016-04-01 18:34:00;2016-04-01 20:30:00;E175;126;62;13;1
170;4359;JAX;MIA;2016-04-01 07:00:00;2016-04-01 08:18:00;E175;127;63;6;5
171;4303;MIA;IND;2016-04-01 09:20:00;2016-04-01 12:16:00;E175;127;63;22;4
172;4364;IND;JFK;2016-04-01 12:46:00;2016-04-01 14:51:00;E175;127;63;10;0
173;4390;JFK;PIT;2016-04-01 15:40:00;2016-04-01 17:27:00;E175;127;63;13;2
174;4300;MEM;ORD;2016-04-01 06:05:00;2016-04-01 08:04:00;E175;118;64;0;1
175;4262;ORD;ATL;2016-04-01 09:30:00;2016-04-01 11:34:00;E175;118;64;19;1
176;4262;ATL;ORD;2016-04-01 12:05:00;2016-04-01 14:20:00;E175;118;64;10;4
177;4222;ORD;SAT;2016-04-01 15:00:00;2016-04-01 18:10:00;E175;118;65;10;1
178;4222;SAT;ORD;2016-04-01 18:51:00;2016-04-01 21:40:00;E175;118;65;16;4
179;4396;MEM;MIA;2016-04-01 08:00:00;2016-04-01 10:20:00;E175;136;66;16;5
180;4376;MIA;NAS;2016-04-01 11:15:00;2016-04-01 12:16:00;E175;136;66;13;1
181;4243;NAS;MIA;2016-04-01 13:00:00;2016-04-01 14:06:00;E175;136;66;6;5
182;4392;MIA;ATL;2016-04-01 16:50:00;2016-04-01 18:48:00;E175;136;66;10;4
